Afghanistan,93,AFG
Albania,355,ALB
Algeria,213,DZA
Andorra,376,AND
Angola,244,AGO
Antigua and Barbuda,-267,ATG
Argentina,54,ARG
Armenia,374,ARM
Australia,61,AUS
Austria,43,AUT
Azerbaijan,994,AZE
"Bahamas, The",-241,BHS
Bahrain,973,BHR
Bangladesh,880,BGD
Barbados,-245,BRB
Belarus,375,BLR
Belgium,32,BEL
Belize,501,BLZ
Benin,229,BEN
Bhutan,975,BTN
Bolivia,591,BOL
Bosnia and Herzegovina,387,BIH
Botswana,267,BWA
Brazil,55,BRA
Brunei,673,BRN
Bulgaria,359,BGR
Burkina Faso,226,BFA
Burundi,257,BDI
Cambodia,855,KHM
Cameroon,237,CMR
Canada,1,CAN
Cape Verde,238,CPV
Central African Republic,236,CAF
Chad,235,TCD
Chile,56,CHL
"China, People's Republic of",86,CHN
Colombia,57,COL
Comoros,269,COM
"Congo, (Congo �� Kinshasa)",243,COD
"Congo, (Congo �� Brazzaville)",242,COG
Costa Rica,506,CRI
Cote d'Ivoire (Ivory Coast),225,CIV
Croatia,385,HRV
Cuba,53,CUB
Cyprus,357,CYP
Czech Republic,420,CZE
Denmark,45,DNK
Djibouti,253,DJI
Dominica,-766,DMA
Dominican Republic,+1-809 and 1-829,DOM
Ecuador,593,ECU
Egypt,20,EGY
El Salvador,503,SLV
Equatorial Guinea,240,GNQ
Eritrea,291,ERI
Estonia,372,EST
Ethiopia,251,ETH
Fiji,679,FJI
Finland,358,FIN
France,33,FRA
Gabon,241,GAB
"Gambia, The",220,GMB
Georgia,995,GEO
Germany,49,DEU
Ghana,233,GHA
Greece,30,GRC
Grenada,-472,GRD
Guatemala,502,GTM
Guinea,224,GIN
Guinea-Bissau,245,GNB
Guyana,592,GUY
Haiti,509,HTI
Honduras,504,HND
Hungary,36,HUN
Iceland,354,ISL
India,91,IND
Indonesia,62,IDN
Iran,98,IRN
Iraq,964,IRQ
Ireland,353,IRL
Israel,972,ISR
Italy,39,ITA
Jamaica,-875,JAM
Japan,81,JPN
Jordan,962,JOR
Kazakhstan,7,KAZ
Kenya,254,KEN
Kiribati,686,KIR
"Korea, North",850,PRK
"Korea, South",82,KOR
Kuwait,965,KWT
Kyrgyzstan,996,KGZ
Laos,856,LAO
Latvia,371,LVA
Lebanon,961,LBN
Lesotho,266,LSO
Liberia,231,LBR
Libya,218,LBY
Liechtenstein,423,LIE
Lithuania,370,LTU
Luxembourg,352,LUX
Macedonia,389,MKD
Madagascar,261,MDG
Malawi,265,MWI
Malaysia,60,MYS
Maldives,960,MDV
Mali,223,MLI
Malta,356,MLT
Marshall Islands,692,MHL
Mauritania,222,MRT
Mauritius,230,MUS
Mexico,52,MEX
Micronesia,691,FSM
Moldova,373,MDA
Monaco,377,MCO
Mongolia,976,MNG
Montenegro,382,MNE
Morocco,212,MAR
Mozambique,258,MOZ
Myanmar (Burma),95,MMR
Namibia,264,NAM
Nauru,674,NRU
Nepal,977,NPL
Netherlands,31,NLD
New Zealand,64,NZL
Nicaragua,505,NIC
Niger,227,NER
Nigeria,234,NGA
Norway,47,NOR
Oman,968,OMN
Pakistan,92,PAK
Palau,680,PLW
Panama,507,PAN
Papua New Guinea,675,PNG
Paraguay,595,PRY
Peru,51,PER
Philippines,63,PHL
Poland,48,POL
Portugal,351,PRT
Qatar,974,QAT
Romania,40,ROU
Russia,7,RUS
Rwanda,250,RWA
Saint Kitts and Nevis,-868,KNA
Saint Lucia,-757,LCA
Saint Vincent and the Grenadines,-783,VCT
Samoa,685,WSM
San Marino,378,SMR
Sao Tome and Principe,239,STP
Saudi Arabia,966,SAU
Senegal,221,SEN
Serbia,381,SRB
Seychelles,248,SYC
Sierra Leone,232,SLE
Singapore,65,SGP
Slovakia,421,SVK
Slovenia,386,SVN
Solomon Islands,677,SLB
Somalia,252,SOM
South Africa,27,ZAF
Spain,34,ESP
Sri Lanka,94,LKA
Sudan,249,SDN
Suriname,597,SUR
Swaziland,268,SWZ
Sweden,46,SWE
Switzerland,41,CHE
Syria,963,SYR
Tajikistan,992,TJK
Tanzania,255,TZA
Thailand,66,THA
Timor-Leste (East Timor),670,TLS
Togo,228,TGO
Tonga,676,TON
Trinidad and Tobago,-867,TTO
Tunisia,216,TUN
Turkey,90,TUR
Turkmenistan,993,TKM
Tuvalu,688,TUV
Uganda,256,UGA
Ukraine,380,UKR
United Arab Emirates,971,ARE
United Kingdom,44,GBR
United States,1,USA
Uruguay,598,URY
Uzbekistan,998,UZB
Vanuatu,678,VUT
Vatican City,379,VAT
Venezuela,58,VEN
Vietnam,84,VNM
Yemen,967,YEM
Zambia,260,ZMB
Zimbabwe,263,ZWE
Abkhazia,995,GEO
"China, Republic of (Taiwan)",886,TWN
Nagorno-Karabakh,277,AZE
Northern Cyprus,-302,CYP
Pridnestrovie (Transnistria),-160,MDA
Somaliland,252,SOM
South Ossetia,995,GEO
Ashmore and Cartier Islands,,AUS
Christmas Island,61,CXR
Cocos (Keeling) Islands,61,CCK
Coral Sea Islands,,AUS
Heard Island and McDonald Islands,,HMD
Norfolk Island,672,NFK
New Caledonia,687,NCL
French Polynesia,689,PYF
Mayotte,262,MYT
Saint Barthelemy,590,GLP
Saint Martin,590,GLP
Saint Pierre and Miquelon,508,SPM
Wallis and Futuna,681,WLF
French Southern and Antarctic Lands,,ATF
Clipperton Island,,PYF
Bouvet Island,,BVT
Cook Islands,682,COK
Niue,683,NIU
Tokelau,690,TKL
Guernsey,44,GGY
Isle of Man,44,IMN
Jersey,44,JEY
Anguilla,-263,AIA
Bermuda,-440,BMU
British Indian Ocean Territory,246,IOT
British Sovereign Base Areas,357,
British Virgin Islands,-283,VGB
Cayman Islands,-344,CYM
Falkland Islands (Islas Malvinas),500,FLK
Gibraltar,350,GIB
Montserrat,-663,MSR
Pitcairn Islands,,PCN
Saint Helena,290,SHN
South Georgia & South Sandwich Islands,,SGS
Turks and Caicos Islands,-648,TCA
Northern Mariana Islands,-669,MNP
Puerto Rico,+1-787 and 1-939,PRI
American Samoa,-683,ASM
Baker Island,,UMI
Guam,-670,GUM
Howland Island,,UMI
Jarvis Island,,UMI
Johnston Atoll,,UMI
Kingman Reef,,UMI
Midway Islands,,UMI
Navassa Island,,UMI
Palmyra Atoll,,UMI
U.S. Virgin Islands,-339,VIR
Wake Island,,UMI
Hong Kong,852,HKG
Macau,853,MAC
Faroe Islands,298,FRO
Greenland,299,GRL
French Guiana,594,GUF
Guadeloupe,590,GLP
Martinique,596,MTQ
Reunion,262,REU
Aland,340,ALA
Aruba,297,ABW
Netherlands Antilles,599,ANT
Svalbard,47,SJM
Ascension,247,ASC
Tristan da Cunha,290,TAA
Australian Antarctic Territory,,ATA
Ross Dependency,,ATA
Peter I Island,,ATA
Queen Maud Land,,ATA
British Antarctic Territory,,ATA
